,TEAM,FROM,TO,URL
8095,Portland Trail Blazers,2006,2006,/players/l/lenarvo01.html
8096,Houston Mavericks,1968,1969,/players/l/lentzle01.html
8097,New York Nets,1969,1969,/players/l/lentzle01.html
8098,Minnesota Timberwolves,1990,1990,/players/l/leonaga01.html
8099,Atlanta Hawks,1991,1992,/players/l/leonaga01.html
8100,San Antonio Spurs,2012,2018,/players/l/leonaka01.html
8101,Toronto Raptors,2019,2019,/players/l/leonaka01.html
8102,Los Angeles Clippers,2020,2021,/players/l/leonaka01.html
8103,Portland Trail Blazers,2013,2019,/players/l/leoname01.html
8104,Miami Heat,2020,2021,/players/l/leoname01.html
8105,Minneapolis Lakers,1957,1957,/players/l/leonasl01.html
8106,Minneapolis Lakers,1958,1960,/players/l/leonasl01.html
8107,Los Angeles Lakers,1961,1961,/players/l/leonasl01.html
8108,Chicago Packers,1962,1962,/players/l/leonasl01.html
8109,Chicago Zephyrs,1963,1963,/players/l/leonasl01.html
8110,Utah Jazz,1989,1990,/players/l/lesji01.html
8111,Los Angeles Clippers,1990,1990,/players/l/lesji01.html
8112,Sacramento Kings,1991,1994,/players/l/lesji01.html
8113,Atlanta Hawks,1995,1995,/players/l/lesji01.html
8114,Los Angeles Clippers,2012,2012,/players/l/leslitr01.html
8115,Chicago Bulls,1981,1984,/players/l/lestero01.html
8116,Los Angeles Lakers,1985,1986,/players/l/lestero01.html
8117,Chicago Bulls,1990,1990,/players/l/lettcl01.html
8118,San Antonio Spurs,1991,1991,/players/l/lettcl01.html
8119,Milwaukee Bucks,2012,2012,/players/l/leuerjo01.html
8120,Cleveland Cavaliers,2013,2013,/players/l/leuerjo01.html
8121,Memphis Grizzlies,2013,2015,/players/l/leuerjo01.html
8122,Phoenix Suns,2016,2016,/players/l/leuerjo01.html
8123,Detroit Pistons,2017,2019,/players/l/leuerjo01.html
8124,Rochester Royals,1949,1949,/players/l/levanan01.html
8125,Syracuse Nationals,1950,1950,/players/l/levanan01.html
8126,Milwaukee Hawks,1953,1953,/players/l/levanan01.html
8127,Portland Trail Blazers,1983,1984,/players/l/leverfa01.html
8128,Denver Nuggets,1985,1986,/players/l/leverfa01.html
8129,Denver Nuggets,1987,1990,/players/l/leverfa01.html
8130,Dallas Mavericks,1991,1994,/players/l/leverfa01.html
8131,Detroit Pistons,1983,1984,/players/l/levincl01.html
8132,Atlanta Hawks,1985,1990,/players/l/levincl01.html
8133,Chicago Bulls,1991,1992,/players/l/levincl01.html
8134,Denver Nuggets,1995,1995,/players/l/levincl01.html
8135,San Francisco Warriors,1968,1970,/players/l/lewisbo01.html
8136,Cleveland Cavaliers,1971,1971,/players/l/lewisbo01.html
8137,Washington Bullets,1996,1996,/players/l/lewisce01.html
8138,Indianapolis Jets,1949,1949,/players/l/lewisfr01.html
8139,Baltimore Bullets,1949,1949,/players/l/lewisfr01.html
8140,Baltimore Bullets,1950,1950,/players/l/lewisfr01.html
8141,Philadelphia Warriors,1950,1950,/players/l/lewisfr01.html
8142,Cincinnati Royals,1967,1967,/players/l/lewisfr02.html
8143,Indiana Pacers,1968,1974,/players/l/lewisfr02.html
8144,Memphis Sounds,1975,1975,/players/l/lewisfr02.html
8145,Spirits of St. Louis,1975,1975,/players/l/lewisfr02.html
8146,Spirits of St. Louis,1976,1976,/players/l/lewisfr02.html
8147,Indiana Pacers,1977,1977,/players/l/lewisfr02.html
8148,Detroit Falcons,1947,1947,/players/l/lewisgr01.html
8149,Detroit Falcons,1947,1947,/players/l/lewisgr01.html
8150,St. Louis Bombers,1948,1948,/players/l/lewisgr01.html
8151,Baltimore Bullets,1948,1948,/players/l/lewisgr01.html
8152,St. Louis Bombers,1949,1949,/players/l/lewisgr01.html
8153,New Orleans Pelicans,2021,2022,/players/l/lewiski01.html
8154,Toronto Raptors,1996,1996,/players/l/lewisma01.html
8155,Toronto Raptors,1997,1997,/players/l/lewisma01.html
8156,Indiana Pacers,1969,1969,/players/l/lewismi01.html
8157,Minnesota Pipers,1969,1969,/players/l/lewismi01.html
8158,Pittsburgh Pipers,1970,1970,/players/l/lewismi01.html
8159,Pittsburgh Condors,1971,1972,/players/l/lewismi01.html
8160,Carolina Cougars,1973,1974,/players/l/lewismi01.html
8161,Utah Jazz,2000,2002,/players/l/lewisqu01.html
8162,Minnesota Timberwolves,2004,2004,/players/l/lewisqu01.html
8163,Detroit Pistons,1988,1990,/players/l/lewisra01.html
8164,Charlotte Hornets,1989,1989,/players/l/lewisra01.html
8165,Charlotte Hornets,1990,1990,/players/l/lewisra01.html
8166,Seattle SuperSonics,1999,2001,/players/l/lewisra02.html
8167,Seattle SuperSonics,2002,2007,/players/l/lewisra02.html
8168,Orlando Magic,2008,2011,/players/l/lewisra02.html
8169,Washington Wizards,2011,2011,/players/l/lewisra02.html
8170,Washington Wizards,2012,2012,/players/l/lewisra02.html
8171,Miami Heat,2013,2014,/players/l/lewisra02.html
8172,Boston Celtics,1988,1993,/players/l/lewisre01.html
8173,Charlotte Hornets,2022,2022,/players/l/lewissc01.html
8174,Denver Nuggets,1991,1993,/players/l/liberma01.html
8175,Denver Nuggets,1994,1994,/players/l/liberma01.html
8176,Detroit Pistons,1994,1994,/players/l/liberma01.html
8177,Denver Nuggets,1990,1993,/players/l/lichtto01.html
8178,Denver Nuggets,1993,1993,/players/l/lichtto01.html
8179,Orlando Magic,1994,1994,/players/l/lichtto01.html
8180,Golden State Warriors,1994,1994,/players/l/lichtto01.html
8181,Boston Celtics,1994,1994,/players/l/lichtto01.html
8182,Orlando Magic,2012,2012,/players/l/liggide01.html
8183,Oklahoma City Thunder,2013,2013,/players/l/liggide01.html
8184,Miami Heat,2014,2014,/players/l/liggide01.html
8185,Cleveland Cavaliers,2017,2017,/players/l/liggide01.html
8186,Dallas Mavericks,2017,2017,/players/l/liggide01.html
8187,Milwaukee Bucks,2018,2018,/players/l/liggide01.html
8188,New Orleans Pelicans,2018,2018,/players/l/liggide01.html
8189,Detroit Pistons,1975,1975,/players/l/ligonbi01.html
8190,Kentucky Colonels,1968,1970,/players/l/ligongo01.html
8191,Kentucky Colonels,1971,1972,/players/l/ligongo01.html
8192,Pittsburgh Condors,1972,1972,/players/l/ligongo01.html
8193,Virginia Squires,1973,1974,/players/l/ligongo01.html
8194,Portland Trail Blazers,2013,2022,/players/l/lillada01.html
8195,Golden State Warriors,2011,2011,/players/l/linje01.html
8196,New York Knicks,2012,2012,/players/l/linje01.html
8197,Houston Rockets,2013,2014,/players/l/linje01.html
8198,Los Angeles Lakers,2015,2015,/players/l/linje01.html
8199,Charlotte Hornets,2016,2016,/players/l/linje01.html
8200,Brooklyn Nets,2017,2018,/players/l/linje01.html
8201,Atlanta Hawks,2019,2019,/players/l/linje01.html
8202,Toronto Raptors,2019,2019,/players/l/linje01.html
8203,Washington Bullets,1983,1983,/players/l/lingest01.html
8204,San Antonio Spurs,1984,1984,/players/l/lingest01.html
8205,Milwaukee Bucks,1982,1986,/players/l/listeal01.html
8206,Seattle SuperSonics,1987,1989,/players/l/listeal01.html
8207,Golden State Warriors,1990,1993,/players/l/listeal01.html
8208,Milwaukee Bucks,1995,1996,/players/l/listeal01.html
8209,Boston Celtics,1996,1997,/players/l/listeal01.html
8210,Portland Trail Blazers,1998,1998,/players/l/listeal01.html
8211,Portland Trail Blazers,2020,2022,/players/l/littlna01.html
8212,Kentucky Colonels,1970,1970,/players/l/littlsa01.html
8213,Carolina Cougars,1970,1971,/players/l/littlge01.html
8214,Carolina Cougars,1972,1974,/players/l/littlge01.html
8215,Kentucky Colonels,1975,1975,/players/l/littlge01.html
8216,Detroit Pistons,2022,2022,/players/l/liveris01.html
8217,Houston Rockets,1997,1997,/players/l/livinra01.html
8218,Atlanta Hawks,1998,1998,/players/l/livinra01.html
8219,Phoenix Suns,1999,2000,/players/l/livinra01.html
8220,Golden State Warriors,2001,2001,/players/l/livinra01.html
8221,Seattle SuperSonics,2002,2002,/players/l/livinra01.html
8222,New Orleans Hornets,2003,2003,/players/l/livinra01.html
8223,Los Angeles Clippers,2004,2004,/players/l/livinra01.html
8224,Utah Jazz,2005,2005,/players/l/livinra01.html
8225,Chicago Bulls,2006,2006,/players/l/livinra01.html
8226,Seattle SuperSonics,2007,2007,/players/l/livinra01.html
8227,Los Angeles Clippers,2005,2007,/players/l/livinsh01.html
8228,Miami Heat,2009,2009,/players/l/livinsh01.html
8229,Oklahoma City Thunder,2009,2010,/players/l/livinsh01.html
8230,Washington Wizards,2010,2010,/players/l/livinsh01.html
8231,Charlotte Bobcats,2011,2011,/players/l/livinsh01.html
8232,Milwaukee Bucks,2012,2012,/players/l/livinsh01.html
8233,Washington Wizards,2013,2013,/players/l/livinsh01.html
8234,Cleveland Cavaliers,2013,2013,/players/l/livinsh01.html
8235,Brooklyn Nets,2014,2014,/players/l/livinsh01.html
8236,Golden State Warriors,2015,2019,/players/l/livinsh01.html
8237,Baltimore Bullets,1950,1950,/players/l/livinro01.html
8238,Philadelphia Warriors,1950,1951,/players/l/livinro01.html
8239,Phoenix Suns,1997,1998,/players/l/llamaho01.html
8240,New Jersey Americans,1968,1968,/players/l/lloydbo01.html
8241,New York Nets,1969,1969,/players/l/lloydbo01.html
8242,Carolina Cougars,1971,1971,/players/l/lloydch01.html
8243,Syracuse Nationals,1953,1958,/players/l/lloydea01.html
8244,Syracuse Nationals,1958,1958,/players/l/lloydea01.html
8245,Detroit Pistons,1959,1960,/players/l/lloydea01.html
8246,Golden State Warriors,1982,1983,/players/l/lloydle01.html
8247,Houston Rockets,1984,1990,/players/l/lloydle01.html
8248,Philadelphia 76ers,1990,1990,/players/l/lloydle01.html
8249,Milwaukee Bucks,1977,1978,/players/l/lloydsc01.html
8250,Buffalo Braves,1978,1978,/players/l/lloydsc01.html
8251,San Diego Clippers,1979,1979,/players/l/lloydsc01.html
8252,Chicago Bulls,1979,1979,/players/l/lloydsc01.html
8253,Dallas Mavericks,1981,1983,/players/l/lloydsc01.html
8254,Dallas Chaparrals,1968,1970,/players/l/lochmri01.html
8255,Syracuse Nationals,1953,1953,/players/l/lochmbo01.html
8256,Los Angeles Clippers,1989,1989,/players/l/lockro01.html
8257,San Antonio Spurs,1984,1984,/players/l/lockhda01.html
8258,Phoenix Suns,1991,1991,/players/l/lockhia01.html
8259,Kansas City Kings,1982,1984,/players/l/loderke01.html
8260,San Diego Clippers,1984,1984,/players/l/loderke01.html
8261,Syracuse Nationals,1951,1951,/players/l/lofgrdo01.html
8262,Indianapolis Olympians,1951,1952,/players/l/lofgrdo01.html
8263,Philadelphia Warriors,1953,1953,/players/l/lofgrdo01.html
8264,Milwaukee Hawks,1954,1954,/players/l/lofgrdo01.html
8265,Detroit Pistons,2019,2019,/players/l/loftoza01.html
8266,Oakland Oaks,1969,1969,/players/l/loganhe01.html
8267,Washington Capitols,1970,1970,/players/l/loganhe01.html
8268,St. Louis Bombers,1947,1950,/players/l/loganjo01.html
8269,Tri-Cities Blackhawks,1951,"Cities Blackhawks, 1951",/players/l/loganjo01.html
8270,Boston Celtics,1988,1989,/players/l/lohaubr01.html
8271,Sacramento Kings,1989,1989,/players/l/lohaubr01.html
8272,Minnesota Timberwolves,1990,1990,/players/l/lohaubr01.html
8273,Milwaukee Bucks,1990,1991,/players/l/lohaubr01.html
8274,Milwaukee Bucks,1992,1993,/players/l/lohaubr01.html
8275,Milwaukee Bucks,1994,1994,/players/l/lohaubr01.html
8276,Miami Heat,1995,1995,/players/l/lohaubr01.html
8277,San Antonio Spurs,1996,1998,/players/l/lohaubr01.html
8278,New York Knicks,1996,1996,/players/l/lohaubr01.html
8279,Toronto Raptors,1997,1997,/players/l/lohaubr01.html
8280,Sacramento Kings,2001,2001,/players/l/longar01.html
8281,Seattle SuperSonics,2002,2002,/players/l/longar01.html
8282,Philadelphia 76ers,2003,2003,/players/l/longar01.html
8283,Toronto Raptors,2003,2003,/players/l/longar01.html
8284,Miami Heat,1989,1995,/players/l/longgr01.html
8285,Atlanta Hawks,1995,1995,/players/l/longgr01.html
8286,Atlanta Hawks,1996,1999,/players/l/longgr01.html
8287,Detroit Pistons,1997,1998,/players/l/longgr01.html
8288,Vancouver Grizzlies,2000,2001,/players/l/longgr01.html
8289,Memphis Grizzlies,2002,2002,/players/l/longgr01.html
8290,Boston Celtics,2003,2003,/players/l/longgr01.html
8291,Detroit Pistons,1979,1991,/players/l/longjo01.html
8292,Indiana Pacers,1987,1989,/players/l/longjo01.html
8293,Atlanta Hawks,1990,1990,/players/l/longjo01.html
8294,Toronto Raptors,1997,1997,/players/l/longjo01.html
8295,Detroit Pistons,1968,1968,/players/l/longpa01.html
8296,Kentucky Colonels,1969,1969,/players/l/longpa01.html
8297,Detroit Pistons,1970,1970,/players/l/longpa01.html
8298,Detroit Pistons,1970,1970,/players/l/longpa01.html
8299,Buffalo Braves,1971,1971,/players/l/longpa01.html
8300,Philadelphia 76ers,2017,2017,/players/l/longsh01.html
8301,The Floridians,1972,1972,/players/l/longwi01.html
8302,Denver Rockets,1973,1974,/players/l/longwi01.html
8303,Minnesota Timberwolves,1992,1994,/players/l/longllu01.html
8304,Chicago Bulls,1994,1998,/players/l/longllu01.html
8305,Phoenix Suns,1999,2000,/players/l/longllu01.html
8306,New York Knicks,2001,2001,/players/l/longllu01.html
8307,Golden State Warriors,2016,2016,/players/l/looneke01.html
8308,Golden State Warriors,2017,2022,/players/l/looneke01.html
8309,New Jersey Nets,2009,2012,/players/l/lopezbr01.html
8310,Brooklyn Nets,2013,2017,/players/l/lopezbr01.html
8311,Los Angeles Lakers,2018,2018,/players/l/lopezbr01.html
8312,Milwaukee Bucks,2019,2022,/players/l/lopezbr01.html
8313,Vancouver Grizzlies,1999,2000,/players/l/lopezfe01.html
8314,Washington Wizards,2001,2001,/players/l/lopezfe01.html
8315,Minnesota Timberwolves,2001,2002,/players/l/lopezfe01.html
8316,Utah Jazz,2004,2004,/players/l/lopezra01.html
8317,Utah Jazz,2005,2005,/players/l/lopezra01.html
8318,Phoenix Suns,2009,2012,/players/l/lopezro01.html
8319,New Orleans Hornets,2013,2013,/players/l/lopezro01.html
8320,Portland Trail Blazers,2014,2015,/players/l/lopezro01.html
8321,New York Knicks,2016,2016,/players/l/lopezro01.html
8322,Chicago Bulls,2017,2017,/players/l/lopezro01.html
8323,Chicago Bulls,2018,2019,/players/l/lopezro01.html
8324,Milwaukee Bucks,2020,2020,/players/l/lopezro01.html
8325,Washington Wizards,2021,2021,/players/l/lopezro01.html
8326,Orlando Magic,2022,2022,/players/l/lopezro01.html
8327,Golden State Warriors,1995,1995,/players/l/lorthry01.html
8328,Golden State Warriors,1995,1995,/players/l/lorthry01.html
8329,Boston Celtics,1956,1964,/players/l/loscuji01.html
8330,Seattle SuperSonics,1968,1969,/players/l/lottpl01.html
8331,Detroit Pistons,1963,1964,/players/l/loughke01.html
8332,Baltimore Bullets,1964,1964,/players/l/loughke01.html
8333,Baltimore Bullets,1965,1969,/players/l/loughke01.html
8334,Baltimore Bullets,1970,1972,/players/l/loughke01.html
8335,Philadelphia 76ers,1972,1973,/players/l/loughke01.html
8336,New Orleans Pelicans,2021,2022,/players/l/louzama01.html
8337,Portland Trail Blazers,2022,2022,/players/l/louzama01.html
8338,Cincinnati Royals,1967,1968,/players/l/lovebo01.html
8339,Milwaukee Bucks,1969,1969,/players/l/lovebo01.html
8340,Chicago Bulls,1969,1977,/players/l/lovebo01.html
8341,New York Nets,1977,1977,/players/l/lovebo01.html
8342,Seattle SuperSonics,1977,1977,/players/l/lovebo01.html
8343,Minnesota Timberwolves,2009,2014,/players/l/loveke01.html
8344,Cleveland Cavaliers,2015,2022,/players/l/loveke01.html
8345,Baltimore Bullets,1972,1973,/players/l/lovest01.html
8346,Los Angeles Lakers,1974,1975,/players/l/lovest01.html
8347,San Antonio Spurs,1975,1975,/players/l/lovest01.html
8348,Minneapolis Lakers,1954,1954,/players/l/lovelcl01.html
8349,Minneapolis Lakers,1954,1957,/players/l/lovelcl01.html
8350,Cincinnati Royals,1958,1958,/players/l/lovelcl01.html
8351,St. Louis Hawks,1959,1962,/players/l/lovelcl01.html
8352,Boston Celtics,1963,1963,/players/l/lovelcl01.html
8353,Boston Celtics,1964,1964,/players/l/lovelcl01.html
8354,Indiana Pacers,1984,1984,/players/l/lowesi01.html
8355,Detroit Pistons,1985,1985,/players/l/lowesi01.html
8356,Atlanta Hawks,1985,1985,/players/l/lowesi01.html
8357,Charlotte Hornets,1989,1989,/players/l/lowesi01.html
8358,Minnesota Timberwolves,1990,1990,/players/l/lowesi01.html
8359,Milwaukee Bucks,1972,1972,/players/l/lowerch01.html
8360,Memphis Grizzlies,2007,2009,/players/l/lowryky01.html
8361,Houston Rockets,2009,2012,/players/l/lowryky01.html
8362,Toronto Raptors,2013,2013,/players/l/lowryky01.html
8363,Toronto Raptors,2014,2020,/players/l/lowryky01.html
8364,Toronto Raptors,2021,2021,/players/l/lowryky01.html
8365,Miami Heat,2022,2022,/players/l/lowryky01.html
8366,Toronto Raptors,2019,2019,/players/l/loydjo01.html
8367,Boston Celtics,1949,1949,/players/l/lucasal01.html
8368,Cincinnati Royals,1964,1970,/players/l/lucasje01.html
8369,San Francisco Warriors,1970,1970,/players/l/lucasje01.html
8370,San Francisco Warriors,1970,1971,/players/l/lucasje01.html
8371,New York Knicks,1972,1974,/players/l/lucasje01.html
8372,Houston Rockets,1977,1978,/players/l/lucasjo01.html
8373,Golden State Warriors,1979,1981,/players/l/lucasjo01.html
8374,Washington Bullets,1982,1983,/players/l/lucasjo01.html
8375,San Antonio Spurs,1984,1984,/players/l/lucasjo01.html
8376,Houston Rockets,1985,1986,/players/l/lucasjo01.html
8377,Milwaukee Bucks,1987,1988,/players/l/lucasjo01.html
8378,Seattle SuperSonics,1989,1989,/players/l/lucasjo01.html
8379,Houston Rockets,1990,1990,/players/l/lucasjo01.html
8380,Memphis Grizzlies,2015,2015,/players/l/lucaska01.html
8381,Detroit Pistons,2019,2019,/players/l/lucaska01.html
8382,Spirits of St. Louis,1975,1976,/players/l/lucasma01.html
8383,Kentucky Colonels,1976,1976,/players/l/lucasma01.html
8384,Portland Trail Blazers,1977,1988,/players/l/lucasma01.html
8385,New Jersey Nets,1980,1980,/players/l/lucasma01.html
8386,New Jersey Nets,1981,1981,/players/l/lucasma01.html
8387,New York Knicks,1982,1982,/players/l/lucasma01.html
8388,Phoenix Suns,1983,1985,/players/l/lucasma01.html
8389,Los Angeles Lakers,1986,1986,/players/l/lucasma01.html
8390,Seattle SuperSonics,1987,1987,/players/l/lucasma01.html
8391,Houston Rockets,2006,2007,/players/l/lucasjo02.html
8392,Chicago Bulls,2011,2012,/players/l/lucasjo02.html
8393,Toronto Raptors,2013,2013,/players/l/lucasjo02.html
8394,Utah Jazz,2014,2014,/players/l/lucasjo02.html
8395,Detroit Pistons,2015,2015,/players/l/lucasjo02.html
8396,Minnesota Timberwolves,2017,2017,/players/l/lucasjo02.html
8397,Philadelphia Warriors,1962,1962,/players/l/luckete01.html
8398,San Francisco Warriors,1963,1963,/players/l/luckete01.html
8399,Los Angeles Lakers,1999,2001,/players/l/luety01.html
8400,Washington Wizards,2002,2003,/players/l/luety01.html
8401,Orlando Magic,2004,2009,/players/l/luety01.html
8402,Houston Rockets,2005,2005,/players/l/luety01.html
8403,Atlanta Hawks,2005,2007,/players/l/luety01.html
8404,Atlanta Hawks,2008,2008,/players/l/luety01.html
8405,Dallas Mavericks,2008,2008,/players/l/luety01.html
8406,Milwaukee Bucks,2009,2009,/players/l/luety01.html
8407,Baltimore Bullets,1954,1954,/players/l/luisiji01.html
8408,Washington Capitols,1947,1947,/players/l/lujacal01.html
8409,Portland Trail Blazers,1975,1975,/players/l/lumpkph01.html
8410,Phoenix Suns,1976,1976,/players/l/lumpkph01.html
